source,route_name,uri,controller,action,csv_menu_key,resolved_layer,resolved_menu_key,content_exists,csv_match,module
resource,admin.other-incomes.create,admin/other-incomes/create,OtherIncomeController,create,,3,accounting.other-incomes,yes,yes,
resource,admin.other-expenses.index,admin/other-expenses,OtherExpenseController,index,,1,accounting.other-expenses,yes,yes,
resource,admin.other-expenses.create,admin/other-expenses/create,OtherExpenseController,create,,3,accounting.other-expenses,yes,yes,
resource,admin.manual-journals.index,admin/manual-journals,ManualJournalController,index,,1,accounting.manual-journals,yes,yes,
resource,admin.manual-journals.create,admin/manual-journals/create,ManualJournalController,create,,3,accounting.manual-journals,yes,yes,
resource,admin.sales-returns.index,admin/sales-returns,SalesReturnController,index,,1,sales.returns,yes,yes,
resource,admin.sales-returns.show,admin/sales-returns/{id},SalesReturnController,show,,3,sales.returns,yes,yes,
orphan,dashboard.salesTrend,dashboard/sales-trend,UserPerformanceDashboardController,salesTrendAjax,,3,reports.dashboard,yes,,
orphan,dashboard.fragment,dashboard/fragment,UserPerformanceDashboardController,fragmentAjax,,3,reports.dashboard,yes,,
orphan,ui-preview,ui-preview,App\Http\Controllers\UiPreviewController,index,,4,,no,,
orphan,admin.products.export,admin/products/export,ProductController,export,,3,master-data.products,yes,,
orphan,admin.customers.export,admin/customers/export,CustomerController,export,,3,master-data.customers,yes,,
orphan,admin.customers.ledger-data,admin/customers/{customer}/ledger-data,CustomerController,ledgerData,,3,master-data.customers,yes,,
orphan,admin.customers.invoices-data,admin/customers/{customer}/invoices-data,CustomerController,invoicesData,,3,master-data.customers,yes,,
orphan,admin.customers.payments-data,admin/customers/{customer}/payments-data,CustomerController,paymentsData,,3,master-data.customers,yes,,
orphan,admin.customers.returns-data,admin/customers/{customer}/returns-data,CustomerController,returnsData,,3,master-data.customers,yes,,
orphan,admin.suppliers.export,admin/suppliers/export,SupplierController,export,,3,master-data.suppliers,yes,,
orphan,admin.employees.export,admin/employees/export,EmployeeController,export,,3,master-data.employees,yes,,
orphan,admin.banks.export,admin/banks/export,BankController,export,,3,master-data.banks,yes,,
orphan,admin.ledgers.export,admin/ledgers/export,LedgerController,export,,3,master-data.ledgers,yes,,
orphan,admin.branches.export,admin/branches/export,BranchController,export,,3,master-data.branches,yes,,
orphan,admin.warehouses.export,admin/warehouses/export,WarehouseController,export,,3,master-data.warehouses,yes,,
orphan,admin.users.export,admin/users/export,UserController,export,,3,system.users,yes,,
orphan,admin.reconciliation.refresh,admin/reconciliation/refresh,ReconciliationController,refresh,,3,accounting.reconciliation,yes,,
orphan,admin.reports.stocktakeVarianceJournal,admin/reports/stocktake-variance/journal/{session},ReportController,stocktakeVarianceJournal,,3,reports.reports-hub,yes,,
orphan,admin.stock.availability,admin/stock/availability,StockTransactionController,checkAvailability,,3,inventory.stock-transactions,yes,,
orphan,admin.stock.warehouse_breakdown,admin/stock/warehouse-breakdown,StockTransactionController,warehouseBreakdown,,3,inventory.stock-transactions,yes,,
orphan,admin.stock-adjustments.export,admin/stock-adjustments/export,StockAdjustmentController,export,,3,inventory.stock-adjustments,yes,,
orphan,admin.stock-adjustments.create,admin/stock-adjustments/create,StockAdjustmentController,create,,3,inventory.stock-adjustments,yes,,
orphan,admin.stock-adjustments.product-rate,admin/stock-adjustments/product-rate,StockAdjustmentController,getProductRate,,3,inventory.stock-adjustments,yes,,
orphan,admin.stock-adjustments.product-uoms,admin/stock-adjustments/product-uoms,StockAdjustmentController,getProductUoms,,3,inventory.stock-adjustments,yes,,
orphan,admin.stock-take.products.search,admin/stock-take/products/search,StockTakeController,searchProducts,,3,inventory.stock-take,yes,,
orphan,admin.warehouse-transfers.product-stock,admin/warehouse-transfers/product-stock,WarehouseTransferController,getProductStock,,3,inventory.warehouse-transfers,yes,,
orphan,admin.warehouse-transfers.summary.export,admin/warehouse-transfers/summary/export,WarehouseTransferController,summaryExport,,3,inventory.warehouse-transfers,yes,,
orphan,admin.warehouse-transfers.export,admin/warehouse-transfers/export,WarehouseTransferController,export,,3,inventory.warehouse-transfers,yes,,
orphan,admin.branch-demands.branches,admin/branch-demands/branches,BranchDemandController,getBranches,,3,finance.branch-demand,yes,,
orphan,admin.branch-demands.products,admin/branch-demands/products,BranchDemandController,getProducts,,3,finance.branch-demand,yes,,
orphan,admin.branch-demands.warehouses,admin/branch-demands/warehouses/{id},BranchDemandController,getWarehousesByBranch,,3,finance.branch-demand,yes,,
orphan,admin.branch-demands.stock,admin/branch-demands/stock/{pid}/{bid},BranchDemandController,getWarehouseStock,,3,finance.branch-demand,yes,,
orphan,admin.branch-demands.outstanding,admin/branch-demands/outstanding,BranchDemandController,getOutstanding,,3,finance.branch-demand,yes,,
orphan,admin.branch-demands.ledger-history,admin/branch-demands/ledger-history,BranchDemandController,getLedgerHistory,,3,finance.branch-demand,yes,,
orphan,admin.branch-demands.settlement-preview,admin/branch-demands/settlement-preview,BranchDemandController,previewSettlement,,3,finance.branch-demand,yes,,
orphan,admin.branch-demands.repricing-history,admin/branch-demands/{id}/repricing-history,BranchDemandController,getRepricingHistory,,3,finance.branch-demand,yes,,
orphan,admin.branch-demands.weekly-report.export,admin/branch-demands/weekly-report/export,BranchDemandReportController,exportCsv,,3,finance.branch-demand-weekly-report-drill-down,yes,,
orphan,admin.damages.product-stock,admin/damages/product-stock,DamageController,getProductStock,,3,inventory.damages,yes,,
orphan,admin.damages.products.search,admin/damages/products/search,DamageController,searchProducts,,3,inventory.damages,yes,,
orphan,admin.damages.export,admin/damages/export,DamageController,export,,3,inventory.damages,yes,,
orphan,admin.damages.create,admin/damages/create,DamageController,create,,3,inventory.damages,yes,,
orphan,admin.purchase-orders.search-products,admin/purchase-orders/search-products,PurchaseOrderController,searchProducts,,3,purchasing.purchase-orders,yes,,
orphan,admin.purchase-orders.export,admin/purchase-orders/export,PurchaseOrderController,export,,3,purchasing.purchase-orders,yes,,
orphan,admin.purchase-receives.po-details,admin/purchase-receives/po-details,PurchaseReceiveController,getPoDetails,,3,purchasing.purchase-receives,yes,,
orphan,admin.purchase-receives.export,admin/purchase-receives/export,PurchaseReceiveController,export,,3,purchasing.purchase-receives,yes,,
orphan,admin.purchase-receives.create,admin/purchase-receives/create,PurchaseReceiveController,create,,3,purchasing.purchase-receives,yes,,
orphan,admin.purchase-returns.receive-details,admin/purchase-returns/receive-details,PurchaseReturnController,getReceiveDetails,,3,purchasing.purchase-returns,yes,,
orphan,admin.purchase-returns.search-receives,admin/purchase-returns/search-receives,PurchaseReturnController,searchReceives,,3,purchasing.purchase-returns,yes,,
orphan,admin.purchase-returns.summary,admin/purchase-returns/summary,PurchaseReturnController,summary,,3,purchasing.purchase-returns,yes,,
orphan,admin.purchase-returns.export,admin/purchase-returns/export,PurchaseReturnController,export,,3,purchasing.purchase-returns,yes,,
orphan,admin.purchase-returns.create,admin/purchase-returns/create,PurchaseReturnController,create,,3,purchasing.purchase-returns,yes,,
orphan,admin.purchase-audit.run,admin/purchase-audit/run,PurchaseAuditController,runChecks,,3,purchasing.purchase-audit,yes,,
orphan,admin.sales.cart.availability,admin/sales/cart/availability,SalesCartController,checkAvailability,,3,sales.cart,yes,,
orphan,admin.sales.cart.list-drafts,admin/sales/cart/list-drafts,SalesCartController,listDrafts,,3,sales.cart,yes,,
orphan,admin.sales.cart.customer-details,admin/sales/cart/customer-details,SalesCartController,customerDetails,,3,sales.cart,yes,,
orphan,admin.sales.cart.search-customer,admin/sales/cart/search-customer,SalesCartController,searchCustomer,,3,sales.cart,yes,,
orphan,admin.sales.cart.search-product,admin/sales/cart/search-product,SalesCartController,searchProduct,,3,sales.cart,yes,,
orphan,admin.sales.cart.product-by-code,admin/sales/cart/product-by-code,SalesCartController,productByCode,,3,sales.cart,yes,,
orphan,admin.sales.cart-data,admin/sales/cart-data,SalesInvoiceController,getCartData,,3,sales.invoices,yes,,
orphan,admin.sales.credit-check,admin/sales/credit-check,SalesInvoiceController,checkCreditLimit,,3,sales.invoices,yes,,
orphan,admin.sales-invoices.datatable,admin/sales-invoices/datatable,SalesInvoiceController,datatable,,3,sales.invoices,yes,,
orphan,admin.sales-invoices.summary,admin/sales-invoices/summary,SalesInvoiceController,summary,,3,sales.invoices,yes,,
orphan,admin.sales-invoices.edit,admin/sales-invoices/{id}/edit,SalesInvoiceController,edit,,3,sales.invoices,yes,,
orphan,admin.sales-invoices.branch-dispatchers,admin/sales-invoices/branch-dispatchers,SalesInvoiceController,getBranchDispatchers,,3,sales.invoices,yes,,
orphan,admin.sales-challans.dispatchers,admin/sales-challans/dispatchers,SalesChallanController,dispatchers,,3,sales.challans,yes,,
orphan,admin.customer-payments.outstanding-invoices,admin/customer-payments/outstanding-invoices,CustomerPaymentController,getOutstandingInvoices,,3,sales.customer-payments,yes,,
orphan,admin.customer-payments.get-customer-due,admin/customer-payments/get-customer-due,CustomerPaymentController,getCustomerDue,,3,sales.customer-payments,yes,,
orphan,admin.customer-payments.show,admin/customer-payments/{id},CustomerPaymentController,show,,3,sales.customer-payments,yes,,
orphan,admin.supplier-transactions.search,admin/supplier-transactions/search,SupplierTransactionController,searchSupplier,,3,accounting.supplier-transactions,yes,,
orphan,admin.employee-transactions.search,admin/employee-transactions/search,EmployeeTransactionController,searchEmployee,,3,accounting.employee-transactions,yes,,
orphan,admin.sales-returns.invoice-details,admin/sales-returns/invoice-details,SalesReturnController,getInvoiceDetails,,3,sales.returns,yes,,
orphan,admin.sales-returns.search-invoices,admin/sales-returns/search-invoices,SalesReturnController,searchInvoices,,3,sales.returns,yes,,
orphan,admin.sales-returns.summary,admin/sales-returns/summary,SalesReturnController,summary,,3,sales.returns,yes,,
orphan,admin.sales-returns.export,admin/sales-returns/export,SalesReturnController,export,,3,sales.returns,yes,,
orphan,admin.sales-returns.create,admin/sales-returns/create,SalesReturnController,create,,3,sales.returns,yes,,
orphan,admin.notifications.unreadCount,admin/notifications/unread-count,NotificationController,unreadCount,,3,system.notifications-inbox,yes,,
orphan,admin.notifications.recent,admin/notifications/recent,NotificationController,recent,,3,system.notifications-inbox,yes,,
orphan,admin.audit.export,admin/audit/export,GlobalAuditController,export,,3,system.audit,yes,,
orphan,admin.budgets.export-csv,admin/budgets/export-csv,BudgetController,exportCsv,,3,finance.budgets,yes,,
orphan,admin.budgets.create,admin/budgets/create,BudgetController,create,,3,finance.budgets,yes,,
orphan,admin.budgets.show,admin/budgets/{budget},BudgetController,show,,3,finance.budgets,yes,,
orphan,admin.budgets.edit,admin/budgets/{budget}/edit,BudgetController,edit,,3,finance.budgets,yes,,
orphan,admin.dimensions.create,admin/dimensions/create,DimensionController,create,,3,finance.dimensions,yes,,
orphan,admin.dimensions.show,admin/dimensions/{dimension},DimensionController,show,,3,finance.dimensions,yes,,
orphan,admin.dimensions.edit,admin/dimensions/{dimension}/edit,DimensionController,edit,,3,finance.dimensions,yes,,
orphan,admin.fiscal-years.create,admin/fiscal-years/create,FiscalYearController,create,,3,finance.fiscal-years,yes,,
orphan,admin.fiscal-years.show,admin/fiscal-years/{fiscalYear},FiscalYearController,show,,3,finance.fiscal-years,yes,,
